Player, Salary 
Stephen Curry\curryst01,45780966
John Wall\walljo01,44310840
Russell Westbrook\westbru01,44211146
James Harden\hardeja01,43848000
Damian Lillard\lillada01,43750000
LeBron James\jamesle01,41180544
Kevin Durant\duranke01,40918900
Giannis Antetokounmpo\antetgi01,39344970
Paul George\georgpa01,39344970
Kawhi Leonard\leonaka01,39344900
Klay Thompson\thompkl01,37980720
Jimmy Butler\butleji01,36016200
Tobias Harris\harrito02,36000000
Khris Middleton\middlkh01,35500000
Anthony Davis\davisan02,35361360
Rudy Gobert\goberru01,35344828
Kyrie Irving\irvinky01,34916200
Bradley Beal\bealbr01,34502130
Kristaps Porziņģis\porzikr01,31650600
Devin Booker\bookede01,31610000
Karl-Anthony Towns\townska01,31610000
Ben Simmons\simmobe01,31590000
Jamal Murray\murraja01,31590000
Joel Embiid\embiijo01,31579390
Andrew Wiggins\wiggian01,31579390
Pascal Siakam\siakapa01,31320000
Kevin Love\loveke01,31300000
CJ McCollum\mccolcj01,30864198
Chris Paul\paulch01,30800000
Nikola Jokić\jokicni01,30510423
Jrue Holiday\holidjr01,30133333
D'Angelo Russell\russeda01,30013500
Gordon Hayward\haywago01,29900000
Blake Griffin\griffbl01,32405817
Brandon Ingram\ingrabr01,29467800
De'Aaron Fox\foxde01,28103550
Bam Adebayo\adebaba01,28103550
Donovan Mitchell\mitchdo01,28103550
Jayson Tatum\tatumja01,28103550
Al Horford\horfoal01,27000000
Kyle Lowry\lowryky01,26984128
DeMar DeRozan\derozde01,26984127
Kemba Walker\walkeke02,8729020
Jaylen Brown\brownja02,24830357
Draymond Green\greendr01,24026712
Nikola Vučević\vucevni01,24000000
John Collins\collijo01,23000000
Buddy Hield\hieldbu01,22477273
Malcolm Brogdon\brogdma01,21700000
Tim Hardaway Jr.\hardati02,21306816
Mike Conley\conlemi01,21000000
Gary Harris\harriga01,20482143
Danilo Gallinari\gallida01,20475000
Harrison Barnes\barneha02,20284091
Jarrett Allen\allenja01,20000000
Jerami Grant\grantje01,20000000
Julius Randle\randlju01,19800000
Lonzo Ball\balllo01,19767442
Fred VanVleet\vanvlfr01,19675926
Zach LaVine\lavinza01,19500000
Goran Dragić\dragigo01,19440000
Bojan Bogdanović\bogdabo02,18700000
Domantas Sabonis\sabondo01,18562500
Eric Gordon\gordoer01,18218818
Evan Fournier\fournev01,18139535
Eric Bledsoe\bledser01,18125000
Myles Turner\turnemy01,18000000
Bogdan Bogdanović\bogdabo01,18000000
Terry Rozier\roziete01,17905263
Ricky Rubio\rubiori01,17809524
Caris LeVert\leverca01,17500000
Jonathan Isaac\isaacjo01,17400000
Joe Harris\harrijo01,17357143
Spencer Dinwiddie\dinwisp01,17142857
Clint Capela\capelca01,17103448
Steven Adams\adamsst01,17073171
Markelle Fultz\fultzma01,16500000
Aaron Gordon\gordoaa01,16409091
OG Anunoby\anunoog01,16071429
Dāvis Bertāns\bertada01,16000000
Gary Trent Jr.\trentga02,16000000
Lauri Markkanen\markkla01,15690909
Marcus Morris\morrima03,15627907
Duncan Robinson\robindu01,15560000
Norman Powell\powelno01,15517242
Dejounte Murray\murrade01,15428571
Will Barton\bartowi01,30264615
Derrick White\whitede01,15178571
Taurean Prince\princta02,15057692
Andre Iguodala\iguodan01,17641691
Will Barton\bartowi01,30264615
Malik Beasley\beaslma01,14391964
Marcus Smart\smartma01,14339285
Patrick Beverley\beverpa01,14320988
Thaddeus Young\youngth01,14190000
Joe Ingles\inglejo01,14000000
Jonas Valančiūnas\valanjo01,14000000
Doug McDermott\mcderdo01,13750000
Christian Wood\woodch01,13666667
Derrick Rose\rosede01,13445120
Brook Lopez\lopezbr01,13302325
Kentavious Caldwell-Pope\caldwke01,13038862
Kyle Kuzma\kuzmaky01,13000000
Justise Winslow\winslju01,16902439
Robert Covington\covinro01,12975471
Luke Kennard\kennalu01,12727273
T.J. Warren\warretj01,12690000
Deandre Ayton\aytonde01,12632950
Terrence Ross\rosste01,12500000
Jordan Clarkson\clarkjo01,12420000
Dillon Brooks\brookdi01,12200000
Kelly Olynyk\olynyke01,12195122
Kelly Oubre Jr.\oubreke01,12000000
Josh Hart\hartjo01,12000000
Jusuf Nurkić\nurkiju01,12000000
Josh Richardson\richajo01,11600000
Marvin Bagley III\baglema01,11312114
Devonte' Graham\grahade01,11000000
Dwight Powell\poweldw01,11000000
Zion Williamson\willizi01,10733400
Larry Nance Jr.\nancela02,10690909
Jeremy Lamb\lambje01,10500000
Richaun Holmes\holmeri01,10384500
